Name,Age,Gender,Tourist Destination Visited,Month of Travel,Season of Travel,Duration of Stay (days),Number of People Traveled With,Visited during Festival/Event?,Main Reason for Visiting
Sujeet Ghosh,50,Male,Konkan,May,Summer,4,1,Yes,Holiday
Ira Singh,46,Male,Shimla,June,Monsoon,3,1,Yes,Business
Arjun Reddy,41,Male,Manali,August,Festival,6,7,No,Business
Anika Reddy,44,Male,Konkan,,Winter,15,8,Yes,Business
Ayaan Joshi,56,Male,Shimla,September,,4,4,Yes,Festival
Vihaan Pawar,60,Female,Goa,March,Monsoon,2,5,No,Festival
Abhilasha More,40,Male,,September,Winter,9,6,Yes,Pilgrimage
Aadhya Thakur,41,Male,Goa,April,Monsoon,2,1,No,Holiday
Arjun Jadhav,44,Male,,April,Summer,12,5,No,Pilgrimage
Pari Deshmukh,33,Male,Goa,March,Monsoon,14,1,Yes,Pilgrimage
Manisha Mishra,,Male,Manali,June,Festival,11,6,No,Business
Sai Deshmukh,27,Male,Goa,April,Festival,13,1,No,Holiday
,21,Female,Kashmir,January,Monsoon,7,9,No,Festival
Anika Chitkote,41,Male,Konkan,March,Summer,7,6,Yes,Holiday
Sara More,44,,Konkan,July,Monsoon,11,8,,Festival
,41,Male,Goa,September,Summer,5,7,No,Business
Ishaan Ghosh,58,Male,Kashmir,October,Summer,,3,No,Pilgrimage
Reyansh Sharma,24,Male,Jaipur,July,Festival,2,3,Yes,Festival
Aarav Naidu,28,Male,Shimla,August,Monsoon,7,3,,
Arjun Pandey,56,Male,Shimla,December,Winter,10,7,No,Holiday
Diya Thakur,53,Male,Konkan,February,,10,2,No,Business
Abhilasha Verma,37,Female,Kashmir,April,Monsoon,8,1,No,Business
,57,Male,Goa,February,Monsoon,2,3,Yes,Pilgrimage
Ananya Ghosh,43,Male,Manali,January,,13,8,No,Festival
,58,Male,Goa,July,Monsoon,12,2,Yes,Festival
Arjun Naidu,55,Male,Goa,July,Winter,7,10,No,Pilgrimage
Ishaan Ghosh,22,Female,Manali,May,Festival,11,8,Yes,Holiday
Ira Jadhav,56,Male,Manali,August,Summer,15,,No,Festival
Aarav Thakur,36,Male,Konkan,January,Winter,15,1,Yes,Festival
Vihaan More,44,Male,Goa,January,Winter,6,6,Yes,Business
Rohit Yadav,40,Male,Goa,February,Summer,10,3,,Festival
Sara Reddy,49,Male,Shimla,March,,9,6,No,Holiday
Saanvi Mishra,39,Male,Jaipur,January,Summer,5,2,Yes,Pilgrimage
Arjun Waghmare,22,Male,Goa,October,Summer,2,3,No,Pilgrimage
Rahul Sharma,25,Male,Kashmir,January,Summer,9,5,Yes,Pilgrimage
Prisha Sharma,24,Female,Manali,September,Winter,11,7,No,Business
Anika Joshi,21,Female,Manali,March,Monsoon,14,9,Yes,Pilgrimage
Rohit Reddy,28,Male,Manali,February,Monsoon,15,7,No,Holiday
Ayaan Yadav,40,Female,Manali,June,Winter,15,9,No,Festival
Aarav Joshi,35,Male,Manali,July,Winter,2,2,Yes,Business
Kiran Reddy,21,Male,Konkan,September,Festival,11,3,Yes,Holiday
Ayaan Jadhav,27,,Vrindavan,July,Festival,3,9,No,Business
Sujeet Chitkote,45,Male,Kashmir,May,Festival,2,9,Yes,Pilgrimage
Ayaan Chitkote,49,Female,Konkan,June,Festival,15,5,Yes,Pilgrimage
Reyansh Reddy,39,,Manali,February,Summer,11,3,No,Business
Aadhya Deshmukh,60,Female,,November,Monsoon,9,8,Yes,Business
Myra Kulkarni,18,Male,Goa,December,Festival,14,2,No,Pilgrimage
Ishaan Thakur,55,Female,,February,Summer,13,8,No,Business
Pooja Pawar,31,Female,Goa,September,Monsoon,10,7,Yes,Pilgrimage
Arjun Waghmare,53,Female,Goa,October,Festival,7,7,Yes,Holiday
Saanvi Kulkarni,40,Female,Goa,July,Monsoon,5,10,No,Holiday
Krishna Sharma,32,Male,,August,Monsoon,14,4,No,Holiday
Vivaan Ghosh,20,Female,Goa,June,,2,7,No,Festival
Pooja Naidu,45,Male,Shimla,May,Festival,10,7,No,Holiday
Vivaan Pandey,42,Male,Goa,November,Summer,11,1,No,Business
Vihaan Pandey,32,Male,Jaipur,July,Winter,5,5,No,Business
Saanvi Iyer,34,Male,Kashmir,June,Festival,11,10,Yes,Holiday
Diya Thakur,25,Female,Jaipur,January,Summer,,5,Yes,Holiday
Ananya Reddy,,Female,Kashmir,April,Summer,4,3,No,Festival
Aditya Kulkarni,24,Male,Kashmir,November,Monsoon,15,5,No,Holiday
Prisha Pawar,21,Female,Manali,April,Summer,9,7,No,Business
Aditya More,39,Male,Vrindavan,July,Festival,9,,Yes,Holiday
Anika Iyer,41,Male,Kashmir,June,Festival,3,9,Yes,Holiday
Sai More,21,Male,Kashmir,December,Winter,15,3,No,Business
Sai Pandey,39,Female,Goa,,Winter,10,10,No,Festival
Ayaan Pawar,59,Male,Kashmir,July,Monsoon,,9,No,
Rohit Reddy,57,,Goa,August,Monsoon,10,6,No,Festival
Prisha Jadhav,39,Female,Goa,March,Winter,6,4,No,Festival
Sneha More,53,Male,Vrindavan,January,Winter,4,2,Yes,Holiday
Anika Pawar,23,Male,Kashmir,August,Monsoon,2,9,,Festival
Kiran Waghmare,59,Female,Konkan,May,Summer,14,2,No,Business
Pooja More,33,Female,Jaipur,May,Summer,7,3,No,Festival
Sara Singh,60,Female,Kashmir,June,Monsoon,4,5,No,Festival
Krishna Verma,52,Female,,August,Summer,4,7,Yes,Holiday
Saanvi Yadav,47,Male,,June,Winter,14,8,Yes,Pilgrimage
Ishaan Yadav,32,Male,Kashmir,April,Summer,2,,Yes,Festival
Manisha Thakur,60,Male,Manali,November,Festival,12,9,Yes,Festival
Sunita Sharma,27,Female,Goa,October,Summer,4,1,Yes,Business
Myra Singh,54,Female,Vrindavan,January,Monsoon,2,2,No,Business
Gaurav Pawar,53,Male,Manali,May,Winter,7,10,Yes,Business
Reyansh More,60,Male,Goa,September,Winter,3,8,No,Pilgrimage
Ishaan Verma,43,Male,Manali,,Winter,6,2,No,Pilgrimage
Manisha Pandey,38,Male,Konkan,August,Festival,4,5,Yes,Holiday
Diya Joshi,35,Male,Goa,May,,9,4,,Pilgrimage
Sai Chitkote,,Male,Goa,November,Summer,12,3,Yes,Festival
Abhilasha Iyer,23,,Kashmir,March,Monsoon,12,2,No,Holiday
Reyansh Mishra,27,Male,Shimla,September,Festival,2,7,Yes,Holiday
Sujeet Naidu,52,Female,Goa,April,Festival,13,1,No,Festival
Arjun Mishra,25,Male,Goa,July,Winter,8,8,Yes,Festival
Ayaan Yadav,29,Male,Goa,August,Monsoon,5,7,,Pilgrimage
Aarav Joshi,52,Female,Kashmir,September,Summer,,4,Yes,Holiday
Pari Chitkote,39,Male,Goa,June,Summer,3,3,Yes,Pilgrimage
Aarav Naidu,44,Male,Manali,June,Summer,2,3,No,Pilgrimage
Aadhya Ghosh,19,Female,Manali,December,Monsoon,6,1,Yes,Festival
Ayaan Waghmare,19,Male,Goa,May,Monsoon,14,,Yes,Business
,52,Female,Manali,July,Summer,4,10,No,Holiday
Vivaan Joshi,,Male,Vrindavan,October,Winter,11,2,No,Business
Vihaan Mishra,49,Female,Goa,February,Monsoon,9,10,Yes,Pilgrimage
Krishna Kulkarni,18,Female,Manali,August,Summer,2,6,Yes,Pilgrimage
Sai Sharma,40,Male,Kashmir,August,Festival,9,2,Yes,Pilgrimage
Pooja Patil,29,Male,Shimla,July,Summer,15,,No,Business
Sara Chitkote,27,Male,Kashmir,September,Winter,4,9,Yes,Festival
Diya Reddy,32,Male,Goa,August,Festival,9,2,Yes,Business
Krishna Naidu,33,Male,,May,Monsoon,8,1,Yes,Business
Aditya Singh,60,Male,Jaipur,April,Summer,4,8,Yes,Business
Ishaan Ghosh,59,Male,Kashmir,January,Winter,7,3,Yes,Business
,49,Male,Goa,September,Monsoon,10,6,Yes,Business
Ishaan More,44,Male,Shimla,July,Summer,5,4,Yes,Festival
Reyansh Deshmukh,30,Male,Manali,March,Summer,15,1,No,Business
Gaurav Sharma,47,Male,Shimla,December,Festival,15,8,No,Pilgrimage
Vivaan Naidu,34,,Manali,,Monsoon,12,1,No,Holiday
Reyansh Verma,38,Female,Manali,March,Monsoon,8,5,No,Pilgrimage
Arjun Waghmare,44,Female,Manali,June,Summer,6,9,No,Holiday
Vihaan Kulkarni,38,Male,Vrindavan,May,Festival,15,3,No,Festival
Vihaan Pandey,39,Male,Goa,February,Winter,13,9,Yes,Pilgrimage
,38,Female,Manali,March,Monsoon,7,2,No,Pilgrimage
Vihaan Naidu,37,Female,,October,Winter,9,10,No,Pilgrimage
Kiran Singh,34,,Jaipur,October,Summer,10,5,Yes,Business
Sunita Yadav,45,Female,Shimla,,Festival,5,4,No,Business
,31,Male,Kashmir,July,Monsoon,6,3,Yes,Festival
Myra Thakur,34,Male,Kashmir,December,Monsoon,8,1,Yes,Business
Gaurav Verma,41,Male,Goa,April,Monsoon,5,1,Yes,Festival
Pari Reddy,42,Male,Jaipur,September,Festival,2,6,Yes,Business
Arjun Reddy,48,Female,Goa,April,Winter,10,1,Yes,Holiday
,39,Male,Shimla,,Festival,12,7,No,Pilgrimage
Ayaan Mishra,35,Male,Manali,January,Winter,7,2,No,Pilgrimage
Reyansh Thakur,53,Female,Goa,May,Monsoon,2,3,Yes,Festival
Ayaan Deshmukh,34,Male,Jaipur,March,,5,4,,Business
Prisha Joshi,58,Male,Jaipur,May,Monsoon,3,9,Yes,Festival
Aarav Joshi,56,Female,Kashmir,May,Winter,2,1,,Festival
Pari Naidu,52,Male,Konkan,December,Monsoon,7,10,Yes,Festival
,32,Female,Vrindavan,January,Winter,,6,Yes,Business
Aadhya Mishra,24,Female,Kashmir,September,Monsoon,4,10,No,Pilgrimage
,27,Male,Manali,August,Monsoon,4,1,No,Festival
Rahul Chitkote,53,Male,Shimla,September,Monsoon,5,8,No,Festival
Sunita Verma,43,Female,Kashmir,May,Winter,9,4,Yes,Business
Aadhya Ghosh,22,Male,,,Monsoon,8,9,No,Festival
Ayaan Joshi,44,Female,Goa,January,Winter,9,,Yes,Holiday
Reyansh Verma,38,Male,,May,Festival,5,3,Yes,Business
Prisha Yadav,39,Male,Vrindavan,March,Festival,2,6,Yes,Festival
Rohit Deshmukh,46,Male,Vrindavan,July,Monsoon,6,7,No,Festival
Arjun Joshi,46,Female,Goa,June,Monsoon,4,5,Yes,Holiday
Sneha Waghmare,31,Female,Goa,September,Monsoon,9,1,Yes,Festival
Kiran Singh,26,Male,Goa,March,Summer,13,3,Yes,Holiday
Saanvi Sharma,21,Male,Jaipur,June,,4,8,No,Business
,34,Male,Kashmir,December,Monsoon,8,1,No,Business
,26,Male,Vrindavan,December,Winter,12,4,No,Holiday
Ishaan Mishra,58,Male,Goa,December,Summer,9,9,No,Festival
Saanvi Singh,24,Male,Jaipur,September,Summer,13,6,Yes,Business
Sunita Yadav,57,Female,Goa,July,Festival,7,3,No,Business
Prisha Pawar,47,Male,Goa,June,Winter,2,2,No,Festival
Pooja Pawar,55,Male,Kashmir,,Monsoon,2,6,Yes,Festival
Reyansh More,47,Female,Kashmir,June,Monsoon,15,5,,Holiday
Kiran Mishra,28,Male,Shimla,July,Festival,4,9,Yes,Festival
Vihaan Waghmare,52,Female,Jaipur,February,Monsoon,5,3,No,Holiday
Sara Jadhav,20,Male,Konkan,July,,3,6,No,Festival
Vivaan Yadav,58,Male,Goa,August,Winter,9,9,Yes,Business
Sneha Singh,,Male,Shimla,March,Monsoon,7,9,Yes,Business
Myra Pawar,25,Male,Goa,August,Winter,2,10,No,Holiday
Myra Singh,43,Female,Jaipur,January,Winter,11,7,No,Holiday
Sai Yadav,60,Male,Kashmir,December,Festival,10,6,No,Pilgrimage
Prisha Pawar,57,Female,Shimla,March,Summer,15,5,No,Holiday
Ira Naidu,59,Male,Manali,June,Winter,4,9,No,Business
Ayaan Naidu,19,Male,Shimla,October,Festival,4,5,Yes,Business
Prisha Naidu,38,Male,Shimla,September,Festival,3,7,Yes,Pilgrimage
Ishaan Kulkarni,21,,Vrindavan,August,Summer,11,3,Yes,Festival
Vihaan Pandey,36,Female,Kashmir,February,Summer,13,3,,Pilgrimage
Pooja Kulkarni,19,Male,Konkan,August,Summer,11,3,No,Pilgrimage
Ananya Jadhav,45,,Manali,July,Summer,11,8,Yes,
Ananya Chitkote,38,Male,Konkan,,Winter,8,5,No,Festival
Aditya Joshi,37,Female,Kashmir,October,Monsoon,11,1,Yes,Festival
Sara Pawar,27,Male,Goa,June,Monsoon,3,9,No,Festival
Rohit Waghmare,43,Male,Shimla,August,Winter,11,2,No,Holiday
Vivaan Yadav,36,Male,Vrindavan,May,Winter,11,3,Yes,Pilgrimage
Ira Verma,53,Female,Kashmir,April,,,7,No,Festival
Prisha Yadav,42,Male,Manali,September,Winter,3,3,Yes,Festival
Sujeet Mishra,45,Male,Vrindavan,May,Festival,8,1,Yes,Business
Krishna Thakur,25,Male,Goa,September,Monsoon,9,7,Yes,Holiday
Kiran Thakur,55,Female,Manali,January,Summer,5,3,Yes,Holiday
Aadhya Iyer,35,Male,Konkan,May,Summer,11,4,Yes,Holiday
Aadhya Jadhav,24,Female,Jaipur,June,Winter,11,1,No,Business
Manisha Thakur,33,Male,Jaipur,October,Monsoon,3,9,Yes,Holiday
Sneha Ghosh,26,Male,Konkan,May,Monsoon,9,6,Yes,Festival
Gaurav Waghmare,21,Male,Konkan,January,Monsoon,12,5,No,Festival
Krishna Thakur,50,Female,Manali,September,Festival,,10,No,Festival
Aarav More,21,Male,Manali,April,Festival,,9,No,
Aarav Chitkote,43,Female,Shimla,December,Monsoon,15,9,No,Pilgrimage
Aadhya Chitkote,25,Female,Goa,November,Winter,5,9,Yes,Business
Diya Sharma,49,Male,Shimla,April,Festival,10,2,Yes,Pilgrimage
Vihaan Mishra,48,Male,,May,Summer,2,4,Yes,Business
Pari Chitkote,48,Male,Goa,May,Winter,12,,No,Holiday
Rahul Naidu,55,Female,Goa,November,Winter,14,,Yes,Festival
Aarav Verma,40,Female,Goa,February,Festival,10,,Yes,Pilgrimage
Vivaan More,31,Male,Konkan,March,Summer,4,4,No,Holiday
Aadhya Yadav,34,Male,Manali,April,Summer,7,5,Yes,Pilgrimage
Sunita Verma,27,Male,Jaipur,September,Summer,7,,No,
Arjun Patil,28,Male,Goa,August,Summer,11,1,Yes,Festival
Arjun Sharma,52,Female,Shimla,December,Winter,15,3,No,Business
Ira Ghosh,,Male,Shimla,July,Summer,15,5,,Holiday
Prisha More,29,Female,Vrindavan,February,Festival,6,8,,Holiday
Kiran Iyer,,Male,Konkan,August,Winter,3,5,Yes,Pilgrimage
Vihaan Ghosh,42,Male,Goa,July,Winter,10,3,Yes,Business
Rahul Kulkarni,22,Male,Goa,October,Festival,11,4,Yes,
Diya Verma,30,Male,Manali,October,Summer,3,6,No,Business
Vivaan Thakur,44,Female,Kashmir,May,Festival,15,9,No,Holiday
Aadhya Pawar,43,Female,Manali,May,Summer,10,3,No,Business
Myra Mishra,45,Female,Konkan,July,Summer,12,8,No,Business
Ira Verma,27,Male,Manali,May,Summer,13,8,Yes,Festival
Pooja Ghosh,19,Male,Manali,November,Monsoon,7,1,,Holiday
Aadhya Singh,57,Male,Jaipur,April,Festival,14,6,Yes,Business
Aditya Naidu,49,Male,Goa,February,Monsoon,13,8,No,Pilgrimage
Kiran Singh,52,Female,Vrindavan,August,Festival,8,6,Yes,Festival
Aditya Pandey,26,Female,Manali,September,Festival,14,10,No,Business
Pooja Singh,55,Female,Konkan,May,Festival,4,6,No,Business
Abhilasha Sharma,24,Male,Kashmir,April,,12,8,Yes,Pilgrimage
Myra Thakur,49,Male,Manali,January,Festival,9,8,Yes,Holiday
Krishna Thakur,35,Male,Konkan,September,Summer,15,9,Yes,Holiday
,45,Female,Goa,September,Summer,11,5,Yes,Festival
Sai Thakur,40,Female,Jaipur,December,Winter,,2,No,Pilgrimage
Sneha Patil,24,Female,Kashmir,August,Summer,5,8,Yes,Festival
Ayaan Deshmukh,46,Male,Manali,March,Monsoon,11,9,No,Holiday
Prisha Pawar,34,Male,Goa,September,Festival,2,2,Yes,Pilgrimage
Prisha Jadhav,35,Male,Manali,July,Summer,6,9,Yes,Pilgrimage
Sai Thakur,46,Male,Manali,,Summer,8,10,Yes,Business
Sneha Chitkote,33,Male,Goa,January,Summer,15,9,No,
Ananya Mishra,20,Male,Goa,April,Winter,4,6,Yes,Festival
Ananya Patil,,Male,Manali,January,Summer,9,5,Yes,Holiday
,27,Female,Kashmir,November,Monsoon,4,1,Yes,Holiday
Ananya Reddy,46,Female,Vrindavan,December,Festival,10,3,Yes,Pilgrimage
Reyansh Sharma,60,Male,Kashmir,October,Winter,6,2,Yes,Holiday
Anika Yadav,38,Male,Goa,August,Winter,14,5,Yes,Business
Ayaan Waghmare,57,Male,Manali,February,Winter,5,4,Yes,Festival
Ira Iyer,52,Female,Vrindavan,July,Festival,6,4,Yes,Holiday
Sujeet Deshmukh,52,Male,Manali,September,Summer,4,3,Yes,Pilgrimage
Saanvi Thakur,46,Male,Konkan,August,Monsoon,9,5,No,Festival
Gaurav Naidu,26,Male,,May,Festival,4,4,No,Pilgrimage
Sunita Joshi,50,Male,Konkan,January,Winter,12,,No,Business
Aadhya Jadhav,60,Male,Manali,June,Summer,15,9,Yes,Business
Aadhya Yadav,36,Male,Jaipur,October,Festival,9,9,No,Business
Sneha Pawar,37,Male,Kashmir,April,Festival,4,4,Yes,Festival
Vivaan Sharma,59,,Konkan,June,Festival,15,9,,Holiday
Prisha Yadav,44,Male,Jaipur,July,Monsoon,6,3,No,Holiday
Diya Patil,,Male,Vrindavan,July,Monsoon,8,7,No,Business
Diya Singh,49,Female,Kashmir,July,Monsoon,,8,Yes,Business
Aditya Yadav,54,Male,Goa,February,Monsoon,15,3,Yes,Festival
Krishna Kulkarni,55,Male,Konkan,February,Monsoon,12,9,Yes,Festival
Sai Joshi,21,Female,Manali,March,Monsoon,6,9,No,Pilgrimage
Ishaan Verma,33,Female,Goa,October,Summer,,2,Yes,Festival
Manisha Joshi,54,Female,Konkan,July,Winter,9,10,No,Holiday
Kiran Sharma,,Female,Jaipur,October,Summer,13,,No,Festival
Aditya More,27,Male,Goa,November,Winter,13,6,,Pilgrimage
Reyansh Waghmare,51,Female,Jaipur,June,,10,10,No,Pilgrimage
Rahul Jadhav,28,Male,Konkan,September,Monsoon,2,7,No,Holiday
Vivaan Yadav,18,Female,Manali,June,Festival,4,1,No,Festival
Krishna Deshmukh,59,Male,Kashmir,April,Summer,4,3,Yes,Festival
Abhilasha Thakur,,Male,Goa,April,Festival,,5,No,Holiday
,27,Female,Jaipur,,Festival,7,2,,Festival
Vivaan Jadhav,24,Female,Manali,May,Festival,13,4,Yes,Holiday
Myra Singh,20,Male,Goa,May,Summer,2,6,,Festival
Anika Chitkote,23,Male,Kashmir,May,Winter,12,1,No,Business
Reyansh Mishra,,Male,Goa,April,Monsoon,6,,Yes,Business
Sunita Patil,46,Male,Goa,December,Festival,,10,Yes,Pilgrimage
Vivaan Iyer,21,Male,Shimla,January,Monsoon,6,1,Yes,Business
Diya Yadav,,Male,Kashmir,May,Monsoon,2,5,Yes,Festival
Pari Reddy,28,,Kashmir,October,Festival,3,4,Yes,
Anika Iyer,59,Female,Manali,December,Summer,12,7,No,Holiday
Anika Yadav,26,Male,Manali,August,Festival,14,6,No,Holiday
Myra Patil,37,Female,Goa,April,,12,10,Yes,Festival
Ananya Kulkarni,27,Male,Vrindavan,April,Monsoon,,8,Yes,Pilgrimage
Kiran Verma,23,Male,Vrindavan,,Monsoon,3,7,No,Festival
Aarav Joshi,26,Female,Manali,December,Winter,6,8,,Holiday
Myra Jadhav,55,Male,Goa,January,,6,9,No,Holiday
Rahul Deshmukh,26,Male,Shimla,,Monsoon,9,9,Yes,Holiday
Ayaan Joshi,26,Male,Kashmir,November,Winter,3,2,No,Pilgrimage
Ayaan Mishra,22,Male,,November,Summer,3,5,No,Business
Prisha Pawar,37,Male,Shimla,April,Monsoon,12,9,No,Business
Myra Verma,46,Female,Manali,November,Festival,11,5,No,Festival
Pari Chitkote,28,Female,Kashmir,February,Monsoon,13,3,Yes,Holiday
Abhilasha Ghosh,50,Male,,May,Summer,10,8,No,Festival
Vihaan Thakur,40,Male,Kashmir,April,Summer,8,5,Yes,Festival
Ananya Joshi,18,Male,Jaipur,September,Festival,9,8,Yes,Pilgrimage
Pari More,36,Male,Manali,March,Festival,5,2,No,Business
Sneha Waghmare,36,Male,Konkan,February,Winter,10,1,No,Festival
Saanvi Joshi,29,Male,Shimla,October,Festival,15,1,Yes,Holiday
Abhilasha Pandey,46,Male,Shimla,November,Winter,15,5,Yes,Pilgrimage
Sneha Pawar,52,Male,Vrindavan,October,Monsoon,3,2,Yes,Business
Gaurav Jadhav,40,Male,Manali,June,Winter,3,3,No,Business
Abhilasha Naidu,38,Male,,May,Winter,14,3,Yes,Festival
Gaurav Mishra,50,Female,Manali,May,,8,9,No,Holiday
Myra More,25,,Vrindavan,February,,,9,,Festival
Rahul Ghosh,35,Female,Manali,March,Festival,3,2,Yes,Pilgrimage
Ira Mishra,20,Female,Manali,,Summer,8,7,Yes,Business
Krishna Chitkote,54,Male,Goa,June,Winter,15,3,Yes,
Sunita More,45,Female,Manali,May,Summer,9,6,Yes,Festival
Kiran Reddy,60,Female,Shimla,,Winter,7,7,Yes,Holiday
Sunita Patil,,,Kashmir,June,Winter,9,6,Yes,
Aditya Sharma,54,Female,Goa,September,Winter,6,3,Yes,Business
Ishaan Joshi,55,,Goa,March,Festival,7,6,No,Pilgrimage
Ira Chitkote,,Male,Goa,May,Festival,10,1,Yes,Pilgrimage
Sara Deshmukh,29,Female,Kashmir,May,,13,3,Yes,Holiday
Arjun Reddy,23,Male,Goa,November,Monsoon,12,10,No,
Pari Waghmare,50,Male,Konkan,November,Festival,14,9,Yes,Pilgrimage
Rahul Verma,41,,Goa,February,Summer,7,7,No,Festival
Pooja Waghmare,44,Male,Manali,May,Winter,4,10,Yes,Holiday
Reyansh Joshi,46,Male,Goa,November,Festival,3,5,Yes,Business
Rohit Sharma,28,Male,Shimla,January,Summer,,3,No,Business
Aadhya Ghosh,34,Male,Goa,November,Festival,5,1,Yes,Holiday
Saanvi More,34,Female,Kashmir,January,Festival,9,1,Yes,Pilgrimage
Ira More,22,Female,Goa,October,Summer,14,7,No,Business
Prisha Chitkote,29,Female,Shimla,April,Festival,7,6,Yes,Festival
,58,Male,Goa,November,Festival,8,7,No,Pilgrimage
Vivaan Ghosh,59,Male,Vrindavan,August,Winter,8,6,,Business
Ira Naidu,41,,Manali,July,Monsoon,3,9,Yes,Business
Myra Pawar,38,Male,Manali,March,Winter,14,3,No,Holiday
Aadhya Kulkarni,27,Male,Shimla,February,Monsoon,10,1,Yes,
Pooja Chitkote,59,Male,Kashmir,April,Monsoon,6,2,,Holiday
Aadhya Jadhav,37,Male,Vrindavan,September,Festival,3,7,No,Holiday
Ishaan Jadhav,55,Male,Kashmir,August,Summer,11,4,No,Pilgrimage
Prisha Reddy,29,,Kashmir,,Monsoon,7,2,No,Pilgrimage
Sai Chitkote,46,Male,,January,Monsoon,7,7,No,Business
Ananya Thakur,54,Male,Manali,March,Summer,10,1,No,Holiday
Gaurav Ghosh,31,Male,Jaipur,March,Monsoon,3,4,Yes,Holiday
Pooja Waghmare,52,Male,Goa,,Summer,14,4,Yes,
Diya Mishra,,Male,Jaipur,March,Festival,12,3,Yes,
Rohit More,24,Male,Jaipur,October,Winter,10,8,No,Pilgrimage
Saanvi Chitkote,34,Male,Goa,November,Monsoon,10,9,Yes,Holiday
Ira Patil,37,Female,Kashmir,November,Festival,10,,Yes,Pilgrimage
Arjun Verma,24,Male,Jaipur,August,Winter,2,,No,
Pooja Naidu,60,Male,Konkan,August,Monsoon,12,2,No,Business
Aditya Yadav,35,Male,Kashmir,June,Winter,9,7,,Pilgrimage
Ayaan Mishra,57,Male,Shimla,January,Winter,2,5,No,Business
Sara Reddy,28,,Goa,August,Summer,12,4,No,Business
Sara Joshi,29,Female,Manali,March,,4,8,Yes,Business
Vivaan Joshi,40,Male,Manali,December,Summer,10,4,No,Holiday
Diya More,50,Female,Manali,September,Monsoon,5,2,Yes,Pilgrimage
,38,Male,Goa,February,Festival,8,8,Yes,Festival
Abhilasha Patil,21,Male,Goa,,Festival,8,10,Yes,
,42,Male,Konkan,January,Winter,8,6,Yes,Holiday
Arjun More,29,Female,Goa,November,Winter,6,4,Yes,Business
Sara Joshi,40,Female,Manali,July,,12,5,Yes,Business
Gaurav More,49,Male,Shimla,January,Festival,2,1,No,Business
Sneha Reddy,27,Male,Jaipur,August,Winter,,10,Yes,Holiday
Sai Kulkarni,26,Male,Goa,December,Monsoon,7,3,No,Festival
Arjun Jadhav,21,Female,Manali,April,Winter,12,7,No,Pilgrimage
Sujeet Singh,43,Female,Shimla,March,Monsoon,11,9,Yes,Pilgrimage
Sneha Ghosh,46,Female,Kashmir,September,Winter,10,2,No,Business
Krishna Mishra,43,,Jaipur,July,Festival,7,5,Yes,Business
Reyansh Pawar,55,Male,Goa,November,Festival,6,,Yes,Business
Sai Reddy,29,Female,,September,Winter,13,7,No,Holiday
Sunita Jadhav,48,Male,Goa,January,Winter,6,,Yes,Pilgrimage
,53,Male,Kashmir,,Monsoon,6,1,No,Festival
Myra Pawar,49,Male,Manali,January,Monsoon,11,7,No,Business
Diya Iyer,55,Female,Vrindavan,September,Winter,2,2,Yes,Pilgrimage
Arjun Jadhav,58,Male,Manali,September,Summer,13,5,No,Business
Rohit Sharma,50,Male,Goa,July,Summer,10,1,No,Holiday
Ishaan Iyer,30,Male,Kashmir,April,Summer,,10,Yes,Holiday
Sunita Iyer,33,Female,Vrindavan,March,Winter,9,6,No,Festival
Kiran Pandey,23,Male,Shimla,July,Summer,2,2,No,Business
Aadhya Sharma,31,Female,Manali,May,Monsoon,14,2,Yes,Holiday
Sai Patil,39,Male,Jaipur,February,Summer,11,10,No,Festival
Rahul Yadav,52,Male,Konkan,October,,2,3,No,Pilgrimage
Krishna Sharma,39,Male,Jaipur,January,Winter,7,2,No,Business
Ananya Yadav,53,Male,Manali,May,Winter,6,7,No,Pilgrimage
,29,Male,Shimla,December,Monsoon,14,9,No,Pilgrimage
Ayaan Singh,55,Male,Goa,October,Summer,12,7,No,Business
Anika Chitkote,26,Male,Goa,April,Festival,12,1,No,Pilgrimage
Abhilasha Singh,54,,Manali,April,Summer,6,9,No,Pilgrimage
Ira Pandey,21,Female,Shimla,September,Winter,14,5,No,Festival
Vihaan Kulkarni,49,Male,Goa,July,Winter,15,9,Yes,Pilgrimage
Anika Naidu,36,,,December,Summer,7,3,Yes,Festival
Aarav Reddy,50,Male,Goa,October,Winter,5,5,Yes,Festival
Kiran Yadav,40,Male,Kashmir,October,Winter,15,3,No,
Diya Yadav,44,Male,Manali,July,Summer,3,,No,Pilgrimage
Krishna Chitkote,31,Male,Goa,March,Winter,8,5,No,Holiday
Sara Yadav,25,Male,Jaipur,June,Festival,2,2,No,Festival
Abhilasha Chitkote,54,Male,Jaipur,June,Festival,8,5,Yes,Pilgrimage
Pooja Thakur,26,Female,Manali,February,Summer,2,1,No,Holiday
Ishaan Naidu,36,Male,Vrindavan,August,,14,10,,Pilgrimage
Abhilasha Deshmukh,36,Male,Jaipur,July,Festival,14,2,No,Festival
,43,Female,Manali,December,Summer,7,7,Yes,Business
Vihaan Mishra,44,Male,Kashmir,July,,2,7,Yes,
Reyansh Kulkarni,32,Male,Manali,April,Winter,4,7,No,Business
,,Female,Konkan,April,Winter,15,7,Yes,Holiday
Pooja Kulkarni,38,Male,Vrindavan,September,Summer,11,5,Yes,Festival
Ayaan Reddy,20,Female,Konkan,March,Summer,,7,Yes,Pilgrimage
